reservation,ward_no,ward_name,representative
General (Women),195,Konankunte,S.Shashirekha Jayaram (BJP)
General,113,Konena Agrahara,M.Chandrappa Reddy (BJP)
Backward Category A (Women),151,Koramangala,B.N.Kokila (INC)
General,73,Kottegepalya,S.Venkatesh Babu (BJP)
Scheduled Caste,139,K R Market,G.A.Ashwath Narayan (JD (S))
General,52,K R Puram,N.Veeranna (BJP)
Backward Category A,181,Kumaraswamy Layout,Suresh .H (BJP)
General (Women),31,Kushal Nagar,Noor Jahan (INC)
Backward Category A (Women),11,Kuvempu Nagar,Yashodamma.K.R (Independent)
General,69,Laggere,Lakshmikantha reddy (BJP)
General,146,Lakkasandra,K.Mahesh babu (BJP)
Backward Category A,42,Lakshmi Devi Nagar,Thimmaraju (BJP)
General (Women),49,Lingarajapura,Lavanya Ganesh Reddy (INC)
General,172,Madivala,B.N.Manjunath Reddy (INC)
Backward Category B,68,Mahalakshimpuram,S.Keshavamurthy (INC)
Backward Category A (Women),13,Mallasandra,R.P.Shashi (BJP)
Backward Category A,45,Malleswaram,N.Jayapala (INC)
Backward Category A (Women),190,Mangammanapalya,Syed Haseena Taj (BJP)
Backward Category A (Women),33,Manorayanapalya,Fouzia Begum (INC)
General (Women),44,Marappana Palya,Lakshmi (JD (S))
Backward Category A (Women),86,Marathahalli,Varalakshmi.J (INC)
Backward Category A (Women),125,Marenahalli,N.Shankuntala (BJP)
General,126,Maruthi Mandir ward,V.Vageesh (BJP)
Scheduled Caste,59,Maruthi Seva Nagar,R Rajendran (INC)
General,36,Mattikere,Muniswamy Gowda (BJP)
Backward Category A (Women),127,Mudalapalya,N.Shanthakumari (BJP)
Scheduled Caste,48,Muneshwara Nagar,S. Kriya Shailaja (JD (S))
Backward Category A,67,Nagapura,S.Harish (BJP)
General,128,Nagarabhavi,K.Umesh Shetty (BJP)
General (Women),23,Nagavara,Irshad Begum (INC)
Backward Category A,43,Nandini Layout,M.Nagaraj (INC)
General (Women),131,Nayandahalli,H.S.Rajeshwari (BJP)
General (Women),58,New Tippasandara,Sumithra Vijaykumar (BJP)
Scheduled Tribe,116,Nilasandra,Lokesh (INC)
Scheduled Caste,96,Okalipuram,Queen Elezabeth (INC)
General (Women),135,Padarayanapura,Nazni Begum (Independent)
General,182,Padmanabha Nagar,L.Srinivas (BJP)
General,168,Pattabhiram Nagar,C.K.Ramamurthy (BJP)
General,41,Peenya Industrial Area,K.L.Thimmananjaiah (Independent)
General,98,Prakash Nagar,K.Ravindran (BJP)
General,78,Pulikeshinagar,Abdul Rakib Zakir (INC)
Backward Category A,187,Puttenahalli,L.Ramesh (BJP)
Backward Category A,18,Radhakrishna Temple Ward,D.Venkatesh (BJP)
General,70,Rajagopal Nagar,Gangadhar.H.N (BJP)
Backward Category A,99,Rajaji Nagar,H.R.Krishnappa (BJP)
General (Women),64,Rajamahal Guttahalli,M.Vijaya Kumari (BJP)
General,160,Rajarajeshwari Nagar,G.H.Ramachandra (BJP)
Backward Category A,26,Ramamurthy Nagar,M.Revanna (BJP)
Scheduled Caste,62,Ramaswamy Palya,Chandra N (INC)
Scheduled Caste,137,Rayapuram,C.S.Radha Krishna (JD (S))
Scheduled Caste,60,Sagayarapuram,Palaniyammal.V (INC)
Backward Category A,110,Sampangiram Nagar,M.Gopi (BJP)
Backward Category B,19,Sanjaya Nagar,N.M.Krishnamurthy (BJP)
General,178,Sarakki,S.K.Nataraj (BJP)
Scheduled Caste,79,Sarvagna Nagar,J.Bhuvaneshwari (BJP)
Backward Category A,179,Shakambari Nagar,B.Somashekar (BJP)
General (Women),74,Shakthi Ganapathi Nagar,Padmavathi Srinivas (JD (S))
General,75,Shankar Matt,M.Shivaraju (INC)
Backward Category A,111,Shantala Nagar,Shivakumar .K (Others)
General (Women),117,Shanthi Nagar,P.Sowmya (INC)
Scheduled Caste (Women),12,Shettihalli,Sharadamma (BJP)
General (Women),92,Shivaji Nagar,Farida (Independent)
General,107,Shivanagara,Manjunath (BJP)
General,144,Siddapura,M.Udayshankar (INC)
General (Women),191,Singasandra,Kavitha Babu Raj (INC)
Scheduled Caste,61,S K Garden,Devika Rani Sridhar (INC)
General,156,Srinagar,T.Thimmegowda (JD (S))
Backward Category A (Women),108,Sriramamandir,M.G.Jayarathna (BJP)
Scheduled Caste,95,Subhash Nagar,T.Mallesh (INC)
General (Women),66,Subramanya Nagar,Shashikala Kiran S (BJP)
General,152,Suddagunte Palya,G.Manjunath (BJP)
Scheduled Caste,118,Sudham Nagara,Avvai .A (INC)
General,142,Sunkenahalli,P.N.Sadashiva (BJP)
General (Women),15,T Dasarahalli,Puttamma (BJP)
Backward Category A (Women),6,Thanisandra,Lalitha (JD (S))
Backward Category A,130,Ullalu,Rajanna (INC)
Backward Category A,184,Uttarahalli,Ramesh Raju.K (BJP)
Scheduled Caste,115,Vannarpet,Vijayan .S (INC)
General,149,Varthuru,S.Uday Kumar (INC)
General,93,Vasanth Nagar,Katta Jagadish (BJP)
General (Women),197,Vasanthpura,Vijaya.A (BJP)
Backward Category A,164,Vidyapeeta ward,M.Venkatesh (BJP)
General (Women),9,Vidyaranyapura,Nandini.K (BJP)
General,123,Vijayanagar,Ravindra.H (BJP)
General (Women),81,Vijnana Nagar,Geetha Vivekananda (BJP)
Scheduled Caste,51,Vijnanapura,P.Sugumar (BJP)
General,143,Vishveshwara Puram,Anil Kumar.S (BJP)
Backward Category B,22,Vishwanath Nagenahalli,Munirathnamma (INC)
Backward Category A (Women),102,Vrisabhavathi Nagar,L.Nagarathna (JD (S))
Backward Category A,167,Yediyur,Ramesh N.R (BJP)
Backward Category A,4,Yelahanka Satellite Town,M.Muniraju (BJP)
Backward Category A,185,Yelchenahalli,O.Manjunath (INC)
General,37,Yeshwanthpura,Munirathna (INC)
