ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
24,B.Govindaraju (BJP),15650,32156,Backward Category A,4.64,HBR Layout,188,"['Byraveshawar Layout', ' Choudappa Layout', ' North Hennuru', ' Punappa Layout', ' HRBR layout 1st East block', ' HBR layout 2nd (P) - 3rd - 4th and 5th blocks', ' Nanjappa layout', ' Chennaiah layout']",4584,Sarvagna Nagar,16506
21,Jayappa Reddy C.R (BJP),11601,24161,General,1.23,Hebbala,576,"['Hebbala', ' Kunti Betta', ' Chola Nagar', ' Amar Jyothi Layout', ' Chowdaiah Block', ' Anand Nagar Colony', ' UAS Quarters (P)', ' MSH Layout', ' Anand Nagar']",3131,Hebbal,12560
71,Govindegowda M.B (Independent),14123,30889,General,1.96,Hegganahalli,527,"['Maruthi Nagar', ' Bairaveshwara Industrial estate', ' Lakshman Nagar', ' Hegganahalli', ' Sanjeevini Nagar', ' Gajanana Nagar', ' Sunkadakatte']",1879,Dasarahalli,16766
198,Veena Nagaraju (BJP),11385,24311,Backward Category A (Women),28.59,Hemmigepura,319,"['Part I: Existing RR Nagar CMC ward No. 19', ' Part II: Kengeri Upanagar (P)', ' BEML Layout', ' Mailsandra', ' BHEL Layout', ' Patanagere', ' Remco Housing Society', ' BHEL 2nd Stage', ' Sri Krishna Garden', ' BEML Layout 7th Stage', ' Kodipalya', ' Sunkalpalya', ' Srinivaspur', ' BSK 6th Stage 11th Block', ' Meenakshi Residency Layout', ' Annapurneshwari Layout', ' BSK 6th Stage 9th And 10th Block', ' BSK 6th Stage 2nd Block', ' BSK 6th Stage 7th Block', ' Omkar Layout', ' BSK 6th Stage 4th Block', ' Aditya Layout', ' Sunilmitra Layout', ' Sri Balgi Layout', ' BCMEHS Layout', ' Bank Officers Layout', ' BCMC Layout', ' Vajrahalli', ' BCC Layout', ' Pearl Garden', ' Paramount Garden', ' Thalghattapura', ' Judicial Layout 2nd Stage', ' Hemegepura', ' Ganakal', ' Hosahalli', ' Lingadheeranahalli', ' Raguvanahalli', ' Somapura', ' Varahasandra', ' UM Kaval (P) (Boundary described for Part II only)']",3997,Yeshwanthpur,12926
72,A.M.Hanumanthegowda (JD (S)),9247,19668,Backward Category B,7.7,Herohalli,549,"['Horanadu Annapoorneshwari Layout', ' Nagaravale Nagar', ' Janapriya Nagar', ' SBI colony', ' Mahadeshwara Nagar', ' KSRTC Layout', ' Muddeshwara Layout', ' Venkateshwara Layout', ' Syndicate Bank Housing Society Layout', ' Herohalli', ' L and T Layout', ' Anjana Nagar', ' Byadarahalli', ' Bharath Nagar I Phase', ' BEL Layout I Stage', ' SMV Layout', ' BEL Layout II Phase', ' Bharath Nagar II Phase', ' SMV VI and VII block', ' Janatha colony', ' Vishveshwaraiah Layout', ' SMV Layout 8th Phase', ' Gidada Konenahalli', ' Byraweshwara Nagar', ' SMV Layout Nagar', ' Janapriya Apartment']",2026,Yeshwanthpur,10421
38,Asha Suresh (INC),13483,29764,General (Women),5.21,HMT Ward,942,"['Muneshwara Nagar', ' Yashwanthpur Industrial Area', ' Platinum City', ' Netaji Nagar', ' Peenya', ' Peenya Industrial Area II Phase', ' CMTI Quarters', ' Civil Engineers Quarters', ' Gurguntepalya (P)']",3761,Rajarajeshwari Nagar,16281
145,D.Chandrappa (Independent),17762,36455,General,1.41,Hombegowda Nagara,221,"[u'Sudhama Nagar', u' Hombegowda Nagar', u' Wilson Garden', u' NGO\u2019s colony', u' Chinnayanapalya', u' Gupta Layout (P)']",3979,Chikkpet,18693
189,Sukanda (BJP),10751,23058,Backward Category B,2.16,Hongasandra,282,"['Om Shakti Layout', ' NR Reddy Layout', ' Nandishwar Layout', ' Muniyappa Layout', ' MSR Layout', ' Munireddy Layout', ' Hongasandra', ' Mico Layout', ' Chamundi Nagar', ' SR Naidu Road', ' Golden Nagar', ' Kaveri Nagar', ' Manjunath Industrial Estate', ' Madina Nagar', ' Mangammanapalya (P)']",1529,Bommanahalli,12307
25,Tejaswini N. Raju (BJP),13471,28167,General (Women),17.32,Horamavu,666,"['Nagreshwara Nagenahalli', ' Kottnur', ' K. Naraynapura', ' Geddalahalli', ' Amani Byrathikhana', ' Horamavu Agara', ' Chalkere', ' Horamavu', ' Banjara residency', ' Horamavu', ' Agara Kere', ' Jyanthi Nagar', ' Asirwada Colony', ' M. Vishveswaraiah Nagara', ' Ragavendra Nagara', ' Muneshwara Nagar', ' Yerrayana Palya', ' Bovi Colony', ' Rammurthy Nagara', ' BSV Reddy Layout', ' Apparao Layout', ' Dassappa Layout', ' Krishnareddy Layout', ' Pappamma Layout', ' Mukkutam Nagara', ' Vigneshwara Layout', ' Ramaiah Layout', ' Kalumantapa', ' Munireddy Layout', ' Nandanam Colony', ' Anjannappa Layout', ' Nanjappa Garden', ' Bank Avenue', ' Babu Sahib Palya', ' Vijaylakshmi Colony', ' Kyalasanahalli', ' Entire Kalkere Tank']",5677,K R Puram,14696
124,Dr.S.Raju (BJP),15441,32103,Backward Category A,0.89,Hosahalli,403,"['Hosahalli Extension (P)', ' Hosahalli', ' Vijayanagar 1st stage', ' DOS colony', ' Binny Layout', ' Ambedkar Layout', ' Telecom Layout', ' Chevappa Garden', ' Krishnappa Layout']",3613,Vijayanagar,16662
161,H.Narayana (BJP),10144,21185,General,1.34,Hosakerehalli,285,"['Banashankari 3 stage', ' Hosakerehalli', ' Dattatreya Nagar', ' Mookambika Nagar', ' Vidyhasagar', ' NCERT', ' PES Institute of technology']",1192,Padmanabhanagar,11041
80,Savitha (BJP),17849,35890,Scheduled Caste,2.05,Hoysala Nagar,220,"['Jayarajanagar', ' Lakshmipura', ' Indiranagar 2nd Stage', ' Shastrinagar', ' Hutting Colony', ' Defence Colony', ' Hoysala Nagar (Murphy Town)', ' Old Tippasandra', ' HAL 2nd stage (P)']",10775,C V Raman Nagar,18041
174,Latha.K (BJP),11534,24749,General (Women),6.98,HSR Layout,303,"['HSR Layout 1 to 4 and 6 to 7 sectors', ' Sector 5 (P)', ' Vinayaka Nagar', ' Yellukunte (P)', ' BDA Layout', ' Parangi Palya', ' Vanganahalli', ' CPW quarters', ' Agara', ' Ibluru', ' Agara kere', ' Aralukunte']",2723,Bommanahalli,13215
54,B.A.Basavraju (INC),9624,20700,Backward Category A,15.3,Hudi,297,"['Part I: Byrathi village', ' Part II: Bilishivale village', ' Part III: Varanasi village', ' Part IV: Ayyappa Nagar', ' Gangotri Layout', ' Anurag Layout', ' Kodagehalli', ' Basireddy Layout', ' Srivari Layout', ' NRI Layout (Varanashi)', ' Chikkmaraiah Layout', ' NAL South Layout', ' Asha Layout', ' Kuvempu Layout', ' Singhs Colony', ' Ganga Nagar', ' Saketh Nagar', ' SJR Eternity Layout', ' Kumbena Agrahara', ' Belathur', ' Belathur Colony', ' Sathya Sai Colony Sadarmangala', ' Mahadevapura Industrial Area', ' Hudi (P)', ' Tigalarapalya', ' ITPL', ' Kodagehalli Kere (Boundary described for Part IV)']",4364,Mahadevpura,11076
136,Seema Khanum (INC),16188,33758,General (Women),0.63,Jagajivanaramnagar,342,"['Devaraj Urs Nagar', ' Goripalya', ' Old Guddadahalli', ' Jagajivanaram Nagar (P)']",5330,Chamarajpet,17570
173,Saraswathamma (BJP),11043,24088,General (Women),1.52,Jakkasandra,536,"[u'KSRP Quarters', u' Teachers colony', u' Jakkasandra', u' Venkatapura', u' HSR Layout \u2013 Sector 5 (P)']",2829,B T M Layout,13045
5,Muneendra kumar K.V (BJP),10058,20964,General,23.96,Jakkuru,327,"['Kattigenahalli', ' Bellahalli', ' Srinivasapura', ' Thirumenahalli', ' Chokkanahalli', ' Astra Zenca Factory', ' Vinayaka Nagar', ' GL Raju colony', ' Thayamma layout', ' Ramanna Garden', ' Baba Nagar', ' Sri Krishna Garden', ' Defence Residency', ' Sri Balaji Residency', ' Kattigenahalli kere', ' Sapthagiri Layout (near Kattigenahalli kere)', ' Kogilu', ' Kogilu kere', ' Tippu Nagar', ' Kogilu Layout', ' Vinayaka Layout', ' Gowdaramaiah layout', ' Kaliti muniswamappa layout', ' Prakruthi Layout', ' NKF Layout', ' Balihalli - MS Nagar', ' Marisondappa layout', ' Thirumenahalli layout', ' Thirumenahalli', ' Agrahara Layout', ' Krishna Nagar Enclave', ' Balaji Layout', ' Pooja Mahalaxmi Layout', ' Chamundi Layout', ' KPSC Layout', ' Vidhana Soudha Layout', ' Shivanahalli (P)', ' Basaveshwara Nagar (P)', ' Jakkur kere', ' Jakkur village (P)', ' Sampigehalli', ' Arkavathi Layout 2nd 3rd & 7th blocks', ' Maruthi Layout', ' Somappa Layout', ' Agrahara', ' Agrahara kere', ' LHS Yelhanka Layout', ' Chokkanahalli layout', ' Noor Nagar', ' Thirumenahalli layout', ' Basavalingappa Nagar (P)', ' MoC co-op society layout', ' G Gundappa Reddy Layout', ' Srirampura', ' Telecom Layout', ' MCEHS layout', ' MCHS Layout', ' Venkateshwara nagar']",3470,Byatarayanapura,10906
16,R. Narayana Swamy (INC),13950,29037,Scheduled Caste,5.16,Jalahalli,1156,"['HMT staff quarters', ' Jalahalli', ' BEL quarters', ' Khatha Nagar', ' Siddarth Nagar', ' Ayyappa Nagar']",6257,Rajarajeshwari Nagar,15087
186,Suguna Balakrishna (BJP),10780,23299,General (Women),1.28,Jaraganahalli,248,"['Shivananda Nagar', ' Bheraveshwar Layout', ' Chikkaswamy Layout', ' Mahatma Gandhi Layout', ' Krishnamaraju Layout', ' Abbareddy Layout (P)', ' JP Nagar 6th Phase', ' Govindappa Layout', ' Honneyappa Layout', ' Jyothi Layout', ' Jarganahalli', ' Sri Swamy Layout', ' Puttenhalli Kere']",830,Bommanahalli,12519
46,Govindraj N (INC),14390,30743,General,0.89,Jayachamarajendra Nagar,272,"['RT Nagar', ' Hanumanthappa Layout', ' Chunchappa Block', ' JC Nagar']",2465,Hebbal,16353
63,M.K.Gunashekar (INC),12051,24065,General,1.44,Jayamahal,380,"['Jayamahal Extension', ' Railway Qrts', ' Sultangunta', ' Swamy Shivanandapuram (Taskar town)', ' Balappa Garden']",3291,Shivajinagar,12014
153,Gangambike (INC),17790,35963,General (Women),2.5,Jayanagar,220,"['Basavanagudi (P)', ' Kanakanapalya', ' Jayanagar 1st and 2nd blocks', ' Jayanagar 3rd East block', ' RBI Extension', ' RBI colony', ' S R Krishnappa Garden']",3743,Chikkpet,18173
170,Muni Sanjeevaiah (INC),14882,30846,Backward Category A,1.01,Jayanagar East,188,"['NAL Layout', ' URS Colony', ' Jayanagar 9th Block', ' KEB Colony', ' Vysya Bank Colony']",5274,Jayanagar,15964
88,K.Chandrashekhar (BJP),17131,36152,Scheduled Caste,1.89,Jeevanbhima Nagar,281,"['HAL 1st and 2nd stage (P)', ' Kodihalli', ' Shivalingaya Colony', ' Anandapuram', ' Jeevanbhima Nagar', ' Sudham Nagar']",8116,C V Raman Nagar,19021
129,Govindaraju (INC),12131,25889,Backward Category B,12.19,Jnana Bharathi ward,649,"['Bhairaveswara Layout', ' Hanumantha Nagar', ' Sunkadakatte', ' Basaveshwara Nagar', ' Annapurneswari Nagar', ' Durgaparameswari Layout', ' Rajiv Gandhi Nagar', ' Nagarbavi 2nd Stage 2nd  -6th  -12th Blocks', ' Veeranapalya', ' Narsapura', ' Arogya Layout', ' Obarappa Layout', ' Pappreddy Palya', ' Gowramma Layout', ' Chandrashekar Layout', ' Vishveswaraiah Layout 9th Block', ' KHDS Layout', ' Kadukudere Layout', ' ITI Employees Layout', ' MPM Layout', ' Kengunta', ' Malathalli', ' NGEF HBCS Layout', ' HMT Layout', ' Railway Layout', ' Jnanajyothi Nagar', ' Balaji Layout', ' NGEF Layout', ' Sri Hari Layout', ' Ganganagar', ' Tubsamma Layout', ' Bavani Nagar Layout', ' Munneswar Nagar', ' Annapurneswari Layout', ' Govt. Press Layout', ' Jnanaganga Layout', ' Jnana Barathi (Bangalore University)', ' Sapthagiri Layout', ' Forest Layout']",3732,Rajarajeshwari Nagar,13758
89,M.Goutham kumar (BJP),16901,34611,General,0.91,Jogupalya,661,"['Linagayanapalya', ' Jogupalya', ' Saraswatipura', ' G Street Laxamma Layout', ' Nandanavanam Streets', ' Doddayya Layout', ' Someswarapura Layout (p)', ' Motappa Palya', ' Appareddy Palya', ' Shammana layout']",3570,Shanthinagar,17710
177,N.Chandrashekhar Raju (BJP),13761,28508,Backward Category A,1.79,J P Nagar,457,"['JP Nagar 2nd Phase', ' JP Nagar 3rd Phase', ' JP Nagar 4th Phase (Sarakki Dollar Layout)', ' Shivananda Sharma Memorial RV College']",2497,Jayanagar,14747
17,B.R.Nanjudappa (BJP),16545,35174,General,2.05,J P Park,736,"['Poornappa Garden', ' Sundar Nagar', ' Gokul Extension', ' Badappa Garden', ' Muthyalamma Nagar', ' Tannirahalli', ' Matthikere kere (J P Park)', ' SBM Colony', ' Brindavan Nagar', ' Mohan Kumar Nagar', ' HMT Layout']",3344,Rajarajeshwari Nagar,18629
29,Padmanabhareddy (JD (S)),13981,29018,General,1.72,Kacharkanahalli,321,"['Kariyanna Palya', ' St. Thomas Town', ' Kammanahalli', ' Indra Nagar', ' Nagadevi Industrial area', ' Sena Vihar', ' Sait Palya', ' HBR 2nd - 3rd Layout', ' Keshav Nagar', ' Kacharkanahalli', ' Jalavayu vihar', ' Kalyana Nagar']",2593,Sarvagna Nagar,15037
83,K.N.Anjaneya Reddy (INC),10149,22205,General,11.88,Kadugodi,172,"['Channasandra', ' Kadugodi Plantation', ' Maruthopu', ' Kadugodi', ' Subbanna extension', ' Vijayalakshmi colony', ' Siddarth Layout', ' Patallama layout', ' VR reddy colony', ' Muniswamy layout', ' Sri Sai layout', ' FCI Staff Quarters', ' FCI', ' Nanjappa Reddy layout', ' AK Gopalan colony', ' Kadugodi Industrial Area', ' Kadugodi Colony', ' Police Quarters', ' VS reddy Colony', ' Prashanth Extension', ' Mythri Extension', ' Ambedkar Nagar']",4557,Mahadevpura,12056
30,Shaheen Taj (INC),16940,34842,General (Women),0.71,Kadugondanahalli,59,"['Kadugondanahalli', ' HRBR Layout 1st block', ' Narasimha Layout KG Halli', ' Venkateshpura', ' Pillanna Garden']",3897,Sarvagna Nagar,17902
65,G.Manjunath Raju (BJP),17083,34053,Backward Category A,1.36,Kadu Malleshwar Ward,138,"['Malleshwaram', ' Ranganathpuram', ' Vaiyyalikaval (P)', ' Maruthi Nagar']",612,Malleshwaram,16970
101,K.Ranganna (BJP),12104,25742,General,0.91,Kamakshipalya,321,"['BEML Layout', ' West of Chord Road I Stage', ' Meenakshi Nagar', ' Cauvery Nagar', ' KHB Colony', ' AK Colony', ' Ashtagrama', ' Karekallu', ' Kamakshipalya']",2004,Rajajinagar,13638
28,M.C.Srinivas (BJP),16894,34819,General,1.03,Kammanahalli,213,"['Kammanahalli', ' Ramaswamy Palya', ' Subbayya Palya', ' Maruthi Seva Nagar (P)']",4031,Sarvagna Nagar,17925
166,Jyothi Shri Harireddy (INC),14761,30206,General (Women),1.1,Karisandra,365,"['JayaNagar 7th Block', ' National College', ' Karisandra']",2575,Padmanabhanagar,15445
163,D.Venkatesh Murthy (BJP),16967,35736,Backward Category A,1.11,Katriguppe,167,"[u'Srinivasanagar (P)', u' Siddhi Vinayaka Housing colony', u' Vivekananda Nagar', u' Poorna Prajna Housing Layout', u' Banasankari 3rd Stage \u2013 4th 6th and 8th blocks', u' Kathriguppe', u' Siddarth Layout']",574,Basavanagudi,18769
32,Y.R.Gowramma (BJP),12636,26550,General,1.59,Kaval Bairasandra,178,"['Ranka Nagar', ' P and Colony (P)', ' Srinivasa Layout', ' Quaters Colony', ' Bheemanna Layout', ' MM Layout', ' Ratan Singh Layout', ' Kaval Bairasandra', ' Nagappa Layout', ' AMC Layout', ' Muniveerappa Layout', ' HBR Layout 2nd Stage', ' Anand Layout', ' Shamannagowda Layout', ' Adarsh Nagar', ' Pioneer Defence Housing Colony', ' Appajappa Layout', ' Shampura New Extension', ' Ananda Gokula Layout', ' Krishnappa Layout', ' Kaveri Nagar', ' Sultanpalya']",3669,Pulakeshinagar,13914
103,R.Prakash (JD (S)),15982,35256,General,1.64,Kaveripura,524,"['Kamakshipalya Industrial Estate', ' Pete Chennappa Industrial Estate', ' Kaveripura Priyadarshini Layout', ' Ranganathpura', ' HVR Layout', ' Syndicate Bank Colony', ' Prashanth Nagar Colony', ' Sampige Layout', ' Rajiv Nagar', ' Srishaila Nagar', ' Muneswara Nagar', ' Pattigara Palya', ' Saraswathi Nagar']",924,Govindrajnagar,19274
122,Nirmala (INC),16381,33736,Backward Category A (Women),0.36,Kempapura Agrahara,914,"['Kempapura Agrahara (P)', ' Mariyappana Palya']",894,Vijayanagar,17355
1,Y.N.Ashwatha (BJP),10376,21866,Backward Category B,10.47,Kempegowda Ward,430,"['Govindapura', ' Kulappa Layout', ' Vasudevapura', ' Kendriya Vihar', ' Manchenahalli', ' Yelahanka (P)', ' Yelhanka Airport Area', ' Maheshwari Nagar', ' Sai spring field colony', ' Gandhi Nagar', ' Lake view residency', ' Nehru Nagar', ' Venkatala', ' Surabhi Layout', ' Venkatappa Layout', ' Shobha Ultima villas', ' Venkatala Layout', ' Mantri township', ' Vikas layout', ' Yelahanka Kere', ' Shankaranna Layout', ' Sathyappa Anjanappa Kempamma Layout', ' Shivanahalli (P)', ' Maruthi Nagar', ' Sapthagiri Layout (P)', ' Jayanna Layout', ' Basaveshwara Nagar (P)', ' Bhadranna Layout']",1912,Yelahanka,11490
159,R.Anjanappa (BJP),11991,24870,General,4.77,Kengeri,220,"['Classic County Layout', ' Gandhi Nagar', ' Kengeri Satellite Town', ' Vishveshwraiah Nagar', ' Basaweshwar Layout', ' Oddarahalli', ' Sri Kanteshwar Layout', ' Kengeri Satellite Town 3rd Stage (P)', ' Krishnappa Garden', ' Volagarahalli', ' Muddanna Garden', ' Harsha Layout', ' Kengeri', ' Babasaheb Layout', ' BSM Extension']",2440,Yeshwanthpur,12879
8,Ashwath Narayana gowda (BJP),10110,21635,Backward Category B,3.81,Kodigehalli,372,"['Sahakara Nagar (P) B - C & D blocks -', ' CQAL layout', ' Kodigehalli village', ' Sonegowda Layout', ' Maruthi Nagar', ' AMCO Layout', ' Ashwathappa Layout', ' Shanbhog Narayanappa Layout', ' TATA Nagar', ' IISc Layout', ' Kannuramma Layout', ' Devi Nagar', ' Lottegollahalli', ' Maruthi Nagar (Near Ring road)', ' Badrappa Layout', ' Balaji Layout', ' Hebbal Kere', ' Shantivana']",2724,Byatarayanapura,11525
195,S.Shashirekha Jayaram (BJP),9519,20181,General (Women),3.42,Konankunte,173,"['Omshakthi Layout', ' Puttenahalli', ' Raghavendra Nagar', ' Eshwara Layout', ' RBI Colony', ' Nataraj Layout', ' Santhrupti Layout', ' Muniswamy Layout', ' Sun City Layout', ' South City Layout', ' Raghavendra Layout', ' Sai Enclave', ' Aradhana Layout', ' MS Ramaiah City', ' Kottanur Village', ' Krishna Nagar', ' Maruthi Nagar', ' Shreyas Colony', ' Navodhaya Nagar', ' Poornima Nagar', ' Nrupathunga Layout', ' Sankranti Layout', ' Gourava Nagar', ' JP Nagar 7th Phase', ' Annaporneshwari Nagar', ' Srinidhi Layout', ' Mysore Bank Colony', ' New Bank Colony', ' Chunchugatta', ' Patel Narayanswamy Layout', ' Mahendra Singh Layout', ' Konankunte']",1032,Bangalore South,10662
113,M.Chandrappa Reddy (BJP),13865,29344,General,2.12,Konena Agrahara,110,"['Corporation Colony', ' Muniyellappa Graden', ' Rustum Bhag Layout', ' Rustum Bhag', ' N R Layout', ' Murgesh Palya', ' K R Garden', ' Vinayaka Nagar', ' Manjunath Layout', ' Sowmya Layout', ' Air View Colony', ' Raviprakash Nagar', ' MES Colony', ' Konena Agrahara', ' Ramagiri Nagar', ' Sriram Nagar', ' Amnamma Layout', ' Muniyappa Layout', ' Cauvery Nagar', ' BDA Colony', ' Nanjappa reddy colony']",4133,C V Raman Nagar,15479
151,B.N.Kokila (INC),16925,35359,Backward Category A (Women),3.71,Koramangala,232,"['K R Garden', ' Koramangala 6th block', ' KHB block', ' Kathali Palya', ' Koramangala 4th B block', ' Koramangala 5th and 5th A block', ' KHB colony', ' John Nagar', ' Nirmala block', ' Mestri Palya', ' Koramangala 3rd block', ' Jakkasandra block', ' Koramangala 1st and 1st A blocks', ' SBI colony', ' Koramangala 2nd block', ' Koramangala 8th Block and Kormangala Village']",3246,B T M Layout,18434
73,S.Venkatesh Babu (BJP),13288,29100,General,5.84,Kottegepalya,431,"['Kempegowda Nagara (P)', ' Kempegowda Layout (P)', ' Choudeshwari Nagar', ' Premnagar', ' Sreenivas Nagar', ' Sunkadakatte', ' AshwathNagar', ' Muktharayaswamy Layout', ' TelephoneEmployees Layout', ' Beggars Colony', ' Rudeshwara Nagar', ' Narasimharaja Palya', ' Sajjepalya', ' Kottegepalya', ' Nagarbavi 2nd Stage 1st - 3rd - 5th  - 7th  - 8th  -9th  - 10th  - 11th Block', ' Krishnanda Nagar', ' Malegalu', ' IncomeTax Layout', ' Marilingappa Extn', ' Vinayaka Layout', ' Srighanda Nagar (P)']",2299,Rajarajeshwari Nagar,15812
139,G.A.Ashwath Narayan (JD (S)),13532,28514,Scheduled Caste,0.81,K R Market,360,"['Cottonpete', ' Ranasinghpete', ' Old Tharagupete', ' K R Market', ' New Tharagupete', ' Tippu Nagar']",8845,Chamarajpet,14982
52,N.Veeranna (BJP),12573,26485,General,5.12,K R Puram,491,"['Krishnarajapura', ' Hosa Basavanapura', ' ITI North Colony (P)', ' Gangadhara kere', ' Vangayyana kere']",2483,K R Puram,13912
181,Suresh .H (BJP),16735,35384,Backward Category A,1.87,Kumaraswamy Layout,426,"['Kadirenahalli', ' Bendre Nagar', ' Kumaraswamy layout 1st and 2nd stage', ' ISRO layout', ' Kanakagruha layout', ' Vsasudha Bhavan', ' Dayananda Sagar Engineering Collage']",1428,Padmanabhanagar,18649
31,Noor Jahan (INC),16540,34046,General (Women),0.65,Kushal Nagar,129,"['Anwar block', ' Ashok Nagar', ' Kushal Nagar', ' Kadugondanahalli (P)', ' P and T Colony', ' Chikkanna Layout', ' Muslim Colony', ' Muneshwar Nagar']",5167,Pulakeshinagar,17506
11,Yashodamma.K.R (Independent),11806,25295,Backward Category A (Women),7.59,Kuvempu Nagar,942,"['Sudguru Layout', ' Kanshiram nagar', ' Anand Garden', ' Shingapura', ' Shingapura kere', ' Vinayaka Nagar', ' Varadharaja Nagar', ' Air Force area', ' Jalahalli East', ' Raghuram Layout', ' Ramachandrapura', ' Kalatturu Layout', ' Jarkhabandi State Forest', ' H V V Valley layout', ' Vishveswariah Enclave', ' Naidu Layout', ' Kuvempu Nagar', ' Venkatesh Nagar', ' Muniswamiappa Layout', ' Simhadri Layout', ' Govindayyana Palya (P)', ' Raghavendra Colony', ' Defence Layout', ' Ganesh Layout', ' M S Palya', ' Gangammangudi']",4961,Byatarayanapura,13489
69,Lakshmikantha reddy (BJP),11945,25370,General,1.58,Laggere,454,"['Preethi Nagar', ' Vidhana Soudha Layout', ' Freedom Fighters Colony', ' Laggere', ' Narashima Murthy Nagar', ' LG Ramanna Colony Muneshwara Nagar', ' Rajeshwari Nagar', ' Rajiva Gandhi Nagar']",1403,Rajarajeshwari Nagar,13425
146,K.Mahesh babu (BJP),13394,28303,General,1.29,Lakkasandra,422,"['Pothulappa Garden', ' Eramma Layout', ' MICO Area', ' Adugodi (P)', ' Pukaraj Layout', ' Nanjappa Layout', ' Rangadasappa Layout', ' Govardhan Nagar', ' Chandrappa Nagar', ' Lakasandra', ' Sattar Layout', ' Lalji Nagar', ' V K Rangaswamy Layout', ' Sampangi Ram Nagar', ' NIMHANS Staff Quarters', ' Mahalingeshwar Layout', ' KMF Area', ' Chikkalakshmaiah Layout', ' Gupta Layout (P)']",4562,B T M Layout,14909
42,Thimmaraju (BJP),12153,25578,Backward Category A,1.33,Lakshmi Devi Nagar,704,"['Goragunte playa (P)', ' Lakshmidevi Nagar', ' Kempamma Layout', ' Kaveri Nagar', ' Nandini Layout I Stage', ' Narasimha Layout', ' Yeshwanthpur Industrial Suburb (P)', ' Jenakal Siddeshwara Nagar']",4568,Rajarajeshwari Nagar,13425
49,Lavanya Ganesh Reddy (INC),16108,32375,General (Women),0.89,Lingarajapura,289,"['Lingarajapura', ' Ramaswamy Palya']",5013,Sarvagna Nagar,16267
172,B.N.Manjunath Reddy (INC),16034,35155,General,1.16,Madivala,555,"['Tavarekere (P)', ' Madduraman Nagar', ' Chikka Madivala', ' Madivala', ' Dollar Scheme colony', ' Jai Bheema Nagar', ' BTM Layout 1st stage', ' Aicobo Nagar']",2658,B T M Layout,19121
68,S.Keshavamurthy (INC),16774,35976,Backward Category B,0.95,Mahalakshimpuram,311,"['Saraswathipuram', ' Mahalakshimpuram North Layout', ' SN Layout', ' AGB Layout', ' Maruthi Nagar', ' Geleyara Balaga Layout (P)', ' Sriram Nagar']",1258,Mahalakshmi Layout,19202
13,R.P.Shashi (BJP),12187,26253,Backward Category A (Women),1.31,Mallasandra,289,"['Rajanna Layout', ' Mallasandra (P)', ' Ravindra Nagar', ' Mathru Layout', ' Ayyappa Layout', ' BHEL Mini Colony', ' Kalayana Nagar', ' Prashanth Layout', ' Muneswara block']",2749,Dasarahalli,14066
45,N.Jayapala (INC),17327,36321,Backward Category A,1.81,Malleswaram,367,"['Malleswaram (P)', ' Yashwanthpura', ' Subedharpalya', ' Nanjappa Reddy colony']",3493,Malleshwaram,18994
190,Syed Haseena Taj (BJP),12766,27391,Backward Category A (Women),3.52,Mangammanapalya,159,"['Mangammanapalya (P)', ' Madina Nagar (P)', ' Gangamma Layout', ' ITI Layout', ' Priyanka Layout', ' Muneshwarappa Layout', ' Bandepalya', ' Hosapalya', ' HSR 2nd sector', ' Somasamudrapalya', ' Muneshwar Layout', ' Abbayya Layout', ' Munireddy Layout', ' Lakshmi Layout', ' Raghavendra Layout', ' Garebhavi Palya']",1918,Bommanahalli,14625
33,Fouzia Begum (INC),16577,34777,Backward Category A (Women),0.81,Manorayanapalya,169,"['Bhuvaneshwari Nagar', ' Chamundi Nagar', ' Dasappa Garden', ' Manorayanapalya (P)', ' Kauser Nagar', ' HMT Layout', ' P & T Colony', ' Rahamat Nagar', ' Anandppa Block']",838,Hebbal,18200
44,Lakshmi (JD (S)),15894,34002,General (Women),2.05,Marappana Palya,376,"['Gouthampura', ' RMC Yard', ' Marappana Palya', ' Mysore Sandal Soap Factory', ' Ashokpuram', ' Shankara Nagar', ' Corporation Bank Officers quarters', ' Krishnananda Nagar', ' Police Quarters Yashwanthpura Industrial Suburb (P)']",5202,Mahalakshmi Layout,18108
86,Varalakshmi.J (INC),10522,22489,Backward Category A (Women),3.1,Marathahalli,274,"['Marattahalli Yemalur', ' Marathahalli extension', ' Ashwath Nagar', ' Sanjay Nagar', ' Ramanjenaya Layout', ' Anand Nagar', ' Anand Layout']",4126,Mahadevpura,11967
125,N.Shankuntala (BJP),9638,20068,Backward Category A (Women),0.69,Marenahalli,391,"['Amarjyothi Nagar', ' Saraswathi Nagar', ' Kanaka Nagar', ' Marenahalli']",698,Govindrajnagar,10430
126,V.Vageesh (BJP),10363,21784,General,0.79,Maruthi Mandir ward,285,"['Madhura Nagar', ' Vinayaka Layout', ' GKW Layout', ' Vijayanagar (P)', ' Canara Bank Colony']",1072,Govindrajnagar,11421
59,R Rajendran (INC),17949,35811,Scheduled Caste,2.37,Maruthi Seva Nagar,89,"[u'BL Rice Nagar (St. Thomas town)', u' Balaji Layout', u' D\u2019Costa Square', u' Cooks town', u' Vivekananda Nagar', u' Jai Bharathi Nagar', u' Sanjeevappa Layout', u' Jeevanahalli', u' ITC Colony', u' KHB Colony', u' Sathya Nagar', u' Maruthi Seva Nagar (P)']",8453,Sarvagna Nagar,17862
